match_id,season,date,time,stage,round,home_team,home_country,away_team,away_country,home_goals,away_goals,regulation_home_goals,regulation_away_goals,half_time_home_goals,half_time_away_goals,shootout_home_goals,shootout_away_goals,extra_time,penalty_shootout,result_90,result_final,shootout_winner,raw_match,source_file,source_line
UCL_2011_0001,2011/12,2011-09-14,20:45,Group,Group A,Manchester City,ENG,SSC Napoli,ITA,1,1,1,1,0,0,,,False,False,D,D,,20:45  Manchester City (ENG)   v SSC Napoli (ITA)         1-1 (0-0),UCL 2011.txt,11
UCL_2011_0002,2011/12,2011-09-14,,Group,Group A,Villarreal CF,ESP,Bayern München,GER,0,2,0,2,0,1,,,False,False,A,A,,Villarreal CF (ESP)     v Bayern München (GER)     0-2 (0-1),UCL 2011.txt,12
UCL_2011_0003,2011/12,2011-09-27,20:45,Group,Group A,Bayern München,GER,Manchester City,ENG,2,0,2,0,2,0,,,False,False,H,H,,20:45  Bayern München (GER)    v Manchester City (ENG)    2-0 (2-0),UCL 2011.txt,14
UCL_2011_0004,2011/12,2011-09-27,,Group,Group A,SSC Napoli,ITA,Villarreal CF,ESP,2,0,2,0,2,0,,,False,False,H,H,,SSC Napoli (ITA)        v Villarreal CF (ESP)      2-0 (2-0),UCL 2011.txt,15
UCL_2011_0005,2011/12,2011-10-18,20:45,Group,Group A,Manchester City,ENG,Villarreal CF,ESP,2,1,2,1,1,1,,,False,False,H,H,,20:45  Manchester City (ENG)   v Villarreal CF (ESP)      2-1 (1-1),UCL 2011.txt,17
UCL_2011_0006,2011/12,2011-10-18,,Group,Group A,SSC Napoli,ITA,Bayern München,GER,1,1,1,1,1,1,,,False,False,D,D,,SSC Napoli (ITA)        v Bayern München (GER)     1-1 (1-1),UCL 2011.txt,18
UCL_2011_0007,2011/12,2011-11-02,20:45,Group,Group A,Bayern München,GER,SSC Napoli,ITA,3,2,3,2,3,1,,,False,False,H,H,,20:45  Bayern München (GER)    v SSC Napoli (ITA)         3-2 (3-1),UCL 2011.txt,20
UCL_2011_0008,2011/12,2011-11-02,,Group,Group A,Villarreal CF,ESP,Manchester City,ENG,0,3,0,3,0,2,,,False,False,A,A,,Villarreal CF (ESP)     v Manchester City (ENG)    0-3 (0-2),UCL 2011.txt,21
UCL_2011_0009,2011/12,2011-11-22,20:45,Group,Group A,Bayern München,GER,Villarreal CF,ESP,3,1,3,1,2,0,,,False,False,H,H,,20:45  Bayern München (GER)    v Villarreal CF (ESP)      3-1 (2-0),UCL 2011.txt,23
UCL_2011_0010,2011/12,2011-11-22,,Group,Group A,SSC Napoli,ITA,Manchester City,ENG,2,1,2,1,1,1,,,False,False,H,H,,SSC Napoli (ITA)        v Manchester City (ENG)    2-1 (1-1),UCL 2011.txt,24
UCL_2011_0011,2011/12,2011-12-07,20:45,Group,Group A,Manchester City,ENG,Bayern München,GER,2,0,2,0,1,0,,,False,False,H,H,,20:45  Manchester City (ENG)   v Bayern München (GER)     2-0 (1-0),UCL 2011.txt,26
UCL_2011_0012,2011/12,2011-12-07,,Group,Group A,Villarreal CF,ESP,SSC Napoli,ITA,0,2,0,2,0,0,,,False,False,A,A,,Villarreal CF (ESP)     v SSC Napoli (ITA)         0-2 (0-0),UCL 2011.txt,27
UCL_2011_0013,2011/12,2012-09-14,20:45,Group,Group B,Lille OSC,FRA,CSKA Moskva,RUS,2,2,2,2,1,0,,,False,False,D,D,,20:45  Lille OSC (FRA)         v CSKA Moskva (RUS)        2-2 (1-0),UCL 2011.txt,32
UCL_2011_0014,2011/12,2012-09-14,,Group,Group B,Inter,ITA,Trabzonspor,TUR,0,1,0,1,0,0,,,False,False,A,A,,Inter (ITA)             v Trabzonspor (TUR)        0-1 (0-0),UCL 2011.txt,33
